DEPARTAMENTO DEL HECHO;GENERICA;ESPECIFICA;MODALIDAD;2015;2016;2017;2018;2019;2020;2021;2022
PIURA;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;9;60;57;91;95;140;79;21
PIURA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;71;7;73;;;;;
PIURA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;98;53;125;85;106;;
PIURA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;26;61;3;4;8;8;7
PIURA;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;276;802;795;634;486;568;629;400
PIURA;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;2;4;;317;413;474;484;264
PIURA;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;3271;130;;;;;;
PIURA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;1;1;;16;12;20;13;8
PIURA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;5;9;48;104;72;89;87;54
PIURA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;315;812;306;;;;;
PIURA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;397;;;;;
PIURA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;22;;;;;
PIURA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;46;;;;;
PIURA;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;1272;1442;17;19;34;67;65
PIURA;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;5;11;;;;;;
PIURA;FALTAS;OTRAS FALTAS (ESPECIFIQUE);OTRAS FALTAS (ESPECIFIQUE);341;;;;;;;
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;795;602;;;;;;
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;555;478;;;;;;
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;15;10;7;13;4;4;4;6
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;2049;1990;1822;1328;512;672;363;154
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;;;;2;;1;
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;6;3;9;6;8;7;21;2
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;35;20;14;23;18;19;11;5
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;13;7;171;;;;;
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;12;;205;66;22;;
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;;1;2;5;9;12;4
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;696;682;1075;806;549;477;449;389
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;;4;;157;101;143;95;50
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;1066;1045;;;;;;
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;6;4;;48;33;29;27;13
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;58;84;501;904;640;535;343;256
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;921;761;;;;;;
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;45;;;;;
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;29;;;;;
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;;;218;199;277;145;125
PROVINCIA CONSTITUCIONAL DEL CALLAO;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;37;30;;;;;;
PUNO;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;12;133;;;;;;
PUNO;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;1350;73;;;;;;
PUNO;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;;9;1;;1;;3;
PUNO;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;9;210;333;313;185;251;319;131
PUNO;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;578;453;;;;;
PUNO;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;22;16;2;2;4;;2
PUNO;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;36;;;;;;
PUNO;FALTAS;FALTAS CONTRA EL PATRIMONIO;PROTECCION DE SEÑALES SATELITALES ENCRIPTADAS;;2;;;;;;
PUNO;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;69;71;25;14;36;16;18
PUNO;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;429;226;128;15;17;12;18;3
PUNO;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;;32;40;16;12;25;17;6
PUNO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;68;3;40;;;;;
PUNO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;105;14;111;61;91;;
PUNO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;21;24;2;1;1;4;1
PUNO;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;25;1007;559;754;549;705;544;273
PUNO;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;;;;109;53;120;108;58
PUNO;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;3572;298;;;;;;
PUNO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;;;;10;15;8;23;9
PUNO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;;50;311;174;110;195;224;79
PUNO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;8;1807;226;;;;;
PUNO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;500;;;;;
PUNO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;11;;;;;
PUNO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;28;;;;;
PUNO;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;1471;1732;63;39;66;58;19
PUNO;FALTAS;OTRAS FALTAS (ESPECIFIQUE);OTRAS FALTAS (ESPECIFIQUE);144;;;;;;;
SAN MARTIN;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;1028;;;;;;;
SAN MARTIN;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;;;3;1;2;;1;1
SAN MARTIN;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;;;20;101;73;102;116;55
SAN MARTIN;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;464;229;;;;;
SAN MARTIN;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;16;1;;1;;;
SAN MARTIN;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;20;;;;;;
SAN MARTIN;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;21;18;6;3;5;1;
SAN MARTIN;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;1821;527;327;2;9;4;19;6
SAN MARTIN;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;;41;23;10;8;10;14;9
SAN MARTIN;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;192;;8;;;;;
SAN MARTIN;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;34;12;61;41;44;;
SAN MARTIN;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;12;18;2;1;1;4;1
SAN MARTIN;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;;545;403;168;146;205;253;128
SAN MARTIN;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;;;;33;31;58;74;58
SAN MARTIN;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;4609;;;;;;;
SAN MARTIN;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;;;;14;7;10;2;2
SAN MARTIN;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;;;24;76;50;37;43;21
SAN MARTIN;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;;744;129;;;;;
SAN MARTIN;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;570;;;;;
SAN MARTIN;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;7;;;;;
SAN MARTIN;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;14;;;;;
SAN MARTIN;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;2329;2785;70;59;85;120;53
SAN MARTIN;FALTAS;OTRAS FALTAS (ESPECIFIQUE);OTRAS FALTAS (ESPECIFIQUE);6;;;;;;;
TACNA;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;230;181;;;;;;
TACNA;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;256;214;;;;;;
TACNA;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;3;1;4;1;1;1;2;1
TACNA;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;279;482;432;328;173;205;307;120
TACNA;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;191;130;;;;;
TACNA;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;9;5;;;1;2;1
TACNA;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;16;;;;;;
TACNA;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;21;9;2;6;2;4;3
TACNA;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;139;71;150;5;6;12;4;4
TACNA;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;6;23;29;12;12;8;7;6
TACNA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;15;22;152;;;;;
TACNA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;27;49;94;162;133;;
TACNA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;2;9;1;2;7;1;
TACNA;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;222;452;395;549;407;500;502;327
TACNA;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;3;3;;124;97;100;137;72
TACNA;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;677;495;;;;;;
TACNA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;1;1;;;5;8;10;1
TACNA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;8;10;101;90;24;58;37;22
TACNA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;197;117;25;;;;;
TACNA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;60;;;;;
TACNA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;39;;;;;
TACNA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;32;;;;;
TACNA;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;109;144;70;91;122;137;120
TACNA;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;3;7;;;;;;
TUMBES;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;185;173;;;;;;
TUMBES;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;117;44;;;;;;
TUMBES;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;2;4;2;;;;1;2
TUMBES;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;84;50;61;97;65;59;104;48
TUMBES;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;92;57;;;;;
TUMBES;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;2;8;;;1;;1
TUMBES;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;9;;;;;;
TUMBES;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;5;8;7;3;1;1;
TUMBES;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;10;3;46;8;3;3;3;2
TUMBES;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;6;16;61;16;18;9;7;14
TUMBES;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;7;6;173;;;;;
TUMBES;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;4;6;116;152;94;;
TUMBES;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;2;19;1;1;;1;2
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;119;118;134;76;86;46;74;54
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;1;;;79;65;95;109;75
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;383;176;;;;;;
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;;4;;7;14;15;26;3
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;2;18;107;347;175;200;119;98
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;47;129;20;;;;;
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;27;;;;;
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;2;;;;;
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;5;;;;;
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;108;176;19;20;24;25;13
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;3;2;;;;;;
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;90;104;;;;;;
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;204;26;;;;;;
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;;;2;1;;1;1;
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;57;58;27;116;70;66;45;24
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;108;114;;;;;
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;3;;;;1;;
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;10;;;;;;
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;PROTECCION DE SEÑALES SATELITALES ENCRIPTADAS;;2;;;;;;
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;8;7;2;1;2;;
UCAYALI;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;35;9;48;3;2;1;;4
UCAYALI;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;1;4;12;5;4;11;10;5
UCAYALI;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;23;;25;;;;;
UCAYALI;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;5;;16;16;14;;
UCAYALI;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;;8;1;;1;2;
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;60;202;349;355;153;245;177;88
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;1;;;30;29;71;40;29
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;552;192;;;;;;
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;;;;5;6;25;21;6
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;2;2;6;60;86;119;108;67
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;117;148;106;;;;;
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;92;;;;;
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;13;;;;;
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;406;458;89;25;42;56;43
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;4;4;;;;;;
UCAYALI;FALTAS;OTRAS FALTAS (ESPECIFIQUE);OTRAS FALTAS (ESPECIFIQUE);4;;;;;;;
Totales;FALTAS;OTRAS FALTAS (ESPECIFIQUE);OTRAS FALTAS (ESPECIFIQUE);167506;148289;116128;83898;55055;61596;61449;39864
;;;;;;;;;;;
Nota : La información registrada en el 2023, corresponde a enero  agosto.;;;;;;;;;;;
;;;;;;;;;;;
1/ Comprende los 43 distritos de la provincia de Lima.;;;;;;;;;;;
2/ Se refiere a la Región Lima que comprende las provincias de Barranca, Cajatambo, Canta, Cañete, Huaral, Huarochirí, Huaura, Oyón y Yauyos.;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística e Informática  Policia Nacional del Perú.;;;;;;;;;;;
